overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-2,78,79,81,83,79,76,2,80,77
1,83,84,83,84,80,84,9,84,81
1,80,82,81,81,81,81,18,83,81
-1,78,78,79,78,80,77,19,76,80
-1,83,83,84,90,84,81,21,90,83
1,81,82,81,81,82,82,22,80,83
-2,75,74,76,75,77,73,23,73,75
-1,76,75,76,77,76,75,25,77,75
1,81,83,82,82,83,82,32,83,84
1,76,78,77,80,75,77,36,82,77
-1,80,80,81,80,82,79,47,80,82
1,77,77,76,77,75,79,54,78,77
1,76,78,77,79,78,77,69,78,78
-1,76,76,77,78,77,75,110,77,77
1,79,80,79,79,80,79,234,79,81
2,76,79,77,80,77,78,236,80,79
2,78,80,78,80,78,80,237,81,79
-1,81,81,82,84,83,80,240,82,81
1,77,77,76,76,76,78,246,76,77
1,75,78,77,78,78,76,247,79,80
-1,76,77,78,81,78,76,325,80,77
1,76,76,75,75,74,77,378,75,75
-1,75,74,75,74,75,74,461,73,74
-1,77,75,76,75,77,75,480,74,76
1,76,78,77,75,76,77,1799,77,77
-1,77,76,77,75,74,76,1808,74,74
-1,76,75,76,75,75,76,1831,72,76
-2,76,74,76,75,76,75,1860,73,74
-1,72,74,75,75,75,72,1861,74,75
-1,75,75,76,78,76,73,1896,77,76
-1,76,76,77,77,75,74,1925,78,74
-1,73,74,75,76,74,71,111974,75,72
-2,74,73,75,76,72,73,115996,75,69
1,78,79,78,80,79,78,115997,80,80
1,80,83,82,84,82,82,115998,85,82
-1,76,76,77,78,77,74,115999,78,77
1,83,84,83,83,83,84,116009,85,84
1,82,84,83,83,82,83,116010,86,84
1,77,78,77,78,74,77,116011,80,74
-1,78,79,80,81,80,75,116012,80,79
-1,73,75,76,78,76,71,116014,78,76
1,79,81,80,86,82,79,116017,86,83
1,77,80,79,82,79,77,116302,82,80
1,76,77,76,67,76,78,116303,67,76
-1,75,76,77,77,73,74,116311,76,73
2,84,87,85,85,87,86,116325,86,89
-1,79,78,79,79,79,77,116326,78,78
1,79,80,79,80,79,80,116327,80,80
-1,78,78,79,81,79,77,116333,79,79
1,74,76,75,77,75,75,116337,77,76
