overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
1,90,89,9,203376
2,91,89,9,212831
-2,86,88,10,210257
-2,87,89,11,200145
-2,83,85,11,226753
-2,83,85,11,231677
1,91,90,21,202126
3,88,85,21,213345
3,87,84,21,222492
3,87,84,32,210035
3,88,85,32,256630
-2,84,86,44,224232
-1,84,85,44,237383
-2,84,86,73,231443
-2,89,91,73,231747
-2,82,84,73,235212
-2,82,84,73,237679
1,90,89,241,192448
2,88,86,241,210514
3,89,86,243,182521
3,89,86,243,252371
-1,84,85,481,224334
2,88,86,605,223848
1,91,90,607,165153
3,87,84,111674,208418
2,88,86,112139,208722
-1,82,83,112893,189511
3,87,84,114912,192505
-1,83,84,116009,226979
1,89,88,116010,227323
-1,85,86,116010,227392
-1,84,85,116010,238257
-2,81,83,116017,227254
-1,85,86,116017,257008
1,90,89,116033,227310
3,91,88,116033,227316
1,90,89,116033,227361
2,88,86,116034,233662
-1,82,83,116305,226335
-2,81,83,116306,227405
-1,81,82,116306,267289
-1,81,82,116308,267240
-3,80,83,116309,232077
2,92,90,116325,227102
2,93,91,116325,227203
-2,81,83,116365,210406
-2,81,83,116365,225116
1,89,88,116365,232293
-2,84,86,116365,247635
