overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,81,83,82,82,84,82,1,82,85
1,79,81,80,82,79,80,2,84,80
1,84,84,83,84,81,84,9,84,80
1,78,79,78,78,79,79,19,79,80
1,83,85,84,90,84,84,21,91,85
1,81,82,81,81,81,82,22,82,81
-2,77,74,76,76,76,76,25,75,74
-2,73,72,74,73,74,72,31,70,73
2,79,82,80,81,81,80,32,84,83
-1,74,73,74,75,74,72,38,75,74
1,81,81,80,82,79,81,47,83,79
-1,76,75,76,77,74,75,66,76,73
-1,74,72,73,72,73,71,86,71,71
1,76,77,76,75,77,77,110,75,78
-1,75,76,77,76,78,74,175,75,77
-1,78,77,78,77,78,77,219,76,77
1,79,80,79,79,81,79,234,80,82
1,78,78,77,78,77,77,237,79,79
-1,74,74,75,75,75,73,245,75,74
1,77,77,76,76,74,79,246,77,75
1,78,79,78,80,79,79,325,80,80
2,75,79,77,78,77,76,326,79,79
1,77,80,79,77,79,79,448,79,79
-1,75,75,76,79,76,73,450,78,76
1,79,80,79,79,81,79,457,80,82
-1,77,78,79,79,80,77,483,77,79
2,74,79,77,79,79,76,605,80,81
-1,78,76,77,77,77,77,1808,76,77
-1,74,74,75,75,75,71,1943,73,74
-1,73,74,75,74,75,73,1968,75,74
-1,74,73,74,72,74,73,100409,70,73
1,78,79,78,78,77,78,110374,80,79
-1,79,79,80,80,80,79,112172,79,80
-2,72,72,74,78,72,70,112893,77,71
1,81,81,80,81,79,81,114912,82,79
1,80,83,82,86,83,81,115995,87,83
-1,78,76,77,78,77,76,115999,77,77
-1,74,74,75,75,75,73,116013,75,75
-1,76,76,77,80,78,75,116015,79,77
-1,73,73,74,76,73,72,116016,75,72
1,84,85,84,87,83,86,116033,88,84
1,82,82,81,84,80,83,116034,84,80
1,75,78,77,77,80,75,116035,78,80
-1,74,75,76,77,78,73,116036,76,77
-1,78,77,78,77,75,76,116306,75,74
1,75,79,78,82,77,75,116311,82,79
1,78,80,79,82,79,80,116333,82,79
-1,73,73,74,76,75,71,116337,77,75
-1,80,80,81,82,82,79,116365,82,82
-1,73,73,74,74,74,72,116416,74,74
