overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,81,80,80,45,82,80
1,80,82,81,80,82,81,47,81,83
-1,77,75,76,77,75,76,54,77,74
-1,75,75,76,79,76,74,189,79,75
1,72,74,73,72,74,72,206,73,75
1,77,79,78,80,78,79,326,80,79
-1,80,79,80,79,82,79,457,78,81
-1,74,74,75,75,76,73,472,73,75
-1,77,75,76,75,77,76,480,74,76
1,75,79,78,81,78,75,605,81,79
-1,71,74,75,88,77,70,607,88,77
-1,65,69,70,70,70,65,748,69,69
1,69,71,70,67,73,69,918,68,74
1,73,73,72,72,72,73,1746,73,73
-1,76,75,76,75,76,75,1860,75,76
1,72,76,75,75,75,72,1861,75,77
-1,74,74,75,74,76,72,1968,74,74
1,68,70,69,68,71,67,10846,67,72
1,71,73,72,70,72,71,101014,72,74
-1,72,70,71,72,69,70,101016,72,69
1,79,80,79,79,80,79,110062,81,82
-1,72,73,74,72,73,72,110373,72,72
1,74,79,78,78,78,75,110374,79,79
1,72,75,74,77,74,73,110556,78,75
2,67,71,69,69,70,71,110776,69,72
-1,72,72,73,76,73,70,110832,75,70
1,67,70,69,69,71,67,111140,71,72
1,70,72,71,74,70,71,111674,75,70
2,67,70,68,76,67,69,111724,79,69
-1,73,74,75,73,75,73,111811,73,74
-1,70,69,70,74,68,69,111928,74,68
1,73,76,75,86,75,73,112139,88,76
2,67,70,68,71,68,68,112540,75,71
-1,73,74,75,78,73,72,112893,78,72
1,70,72,71,72,73,70,112996,74,73
-1,68,69,70,67,74,67,113149,67,73
-1,79,79,80,80,80,78,115841,80,80
-1,78,78,79,79,79,77,115845,79,77
-1,76,75,76,68,75,76,116305,66,75
1,74,77,76,78,74,74,116307,78,75
1,79,79,78,79,78,80,116312,78,79
1,79,80,79,80,79,80,116327,80,80
1,68,72,71,72,72,69,116330,72,74
-1,74,73,74,74,73,72,116332,73,72
-2,74,73,75,77,75,72,116337,77,73
2,73,75,73,75,74,74,116339,76,76
-2,70,68,70,69,71,68,116340,68,69
-1,79,79,80,81,80,79,116365,80,80
-1,71,71,72,75,72,70,131125,74,71
-2,68,68,70,70,71,67,131391,69,70
