overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,82,84,5,164240
-2,84,86,5,232411
-2,87,89,9,203376
-2,87,89,9,212831
-2,84,86,9,231281
1,92,91,10,192985
1,89,88,10,218667
2,91,89,10,231866
3,89,86,10,237692
-1,90,91,10,239085
1,90,89,10,239818
2,89,87,11,200145
2,89,87,11,212198
-1,82,83,13,251809
-1,83,84,18,240091
1,91,90,21,202126
2,89,87,32,256630
3,88,85,44,208128
1,92,91,73,231747
-1,83,84,175,192984
-1,83,84,240,193747
1,89,88,240,194765
2,92,90,241,188545
-2,84,86,241,210514
2,89,87,241,228702
3,89,86,243,182521
1,89,88,243,239053
-1,84,85,243,243812
2,90,88,243,252371
-1,82,83,481,224334
3,89,86,114912,211110
-2,82,84,115841,198706
-1,82,83,115841,210413
1,89,88,115998,226302
-1,84,85,115998,247789
-1,83,84,116009,226979
-2,82,84,116009,227110
-1,84,85,116009,233746
-1,86,87,116009,245802
-2,83,85,116009,246426
-1,84,85,116009,265242
2,90,88,116010,227323
-2,82,84,116010,265249
3,89,86,116017,257008
3,89,86,116034,233662
-1,83,84,116035,245697
2,92,90,116325,227102
2,90,88,116325,227190
3,93,90,116325,241667
-1,84,85,116365,217870
