overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,81,83,82,82,84,82,1,81,84
-1,83,84,85,87,86,83,10,87,85
1,83,85,84,90,85,84,21,91,86
1,81,82,81,81,81,82,22,82,81
-2,77,74,76,76,76,76,25,75,74
-2,74,72,74,73,74,72,31,72,71
2,79,82,80,81,81,80,32,84,83
-1,73,73,74,75,74,72,38,75,74
1,81,81,80,82,79,81,47,83,79
1,74,78,77,79,77,74,69,79,78
1,75,77,76,77,76,77,72,76,77
1,84,84,83,84,79,85,73,84,80
-1,75,76,77,76,78,75,175,75,77
-1,71,72,73,69,73,70,191,70,73
-1,73,72,73,68,73,72,217,69,72
1,79,80,79,79,81,79,234,80,82
1,78,78,77,78,77,77,237,79,79
-1,74,74,75,75,74,73,245,73,72
1,78,79,78,80,78,79,325,81,78
1,76,78,77,78,77,77,326,78,78
1,77,80,79,77,79,79,448,79,80
-1,77,76,77,77,77,76,479,75,76
-1,77,78,79,79,80,76,483,78,80
2,74,79,77,79,79,76,605,80,81
-1,73,72,73,72,74,72,1794,72,74
-1,74,74,75,75,76,72,1943,73,75
-1,74,73,74,72,74,73,100409,70,73
1,78,79,78,78,77,78,110374,80,79
-1,79,79,80,80,80,79,112172,79,80
-1,72,73,74,78,72,72,112893,77,71
1,81,81,80,81,79,81,114912,82,79
1,80,83,82,86,83,81,115995,86,83
2,74,77,75,76,75,75,115996,77,76
1,78,78,77,78,77,79,115999,78,78
-1,72,72,73,73,73,71,116001,73,73
-2,76,75,77,77,80,74,116002,77,78
-1,74,74,75,75,75,73,116013,75,75
-1,75,74,75,75,74,74,116014,75,74
1,79,81,80,83,81,79,116017,83,82
1,84,85,84,87,83,85,116033,88,84
1,80,82,81,83,80,81,116034,83,80
1,80,79,78,75,79,80,116300,75,80
-1,77,79,80,83,80,76,116302,83,80
-1,78,77,78,77,75,76,116306,76,75
1,77,79,78,79,77,76,116310,80,77
1,75,79,78,82,77,76,116311,83,79
-1,73,74,75,76,74,72,116328,75,73
-1,73,73,74,76,75,71,116337,76,74
-1,80,80,81,82,82,79,116365,82,82
-1,73,73,74,74,74,72,116416,74,74
