assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,defensivestyle,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,chancecreation,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,playersinboxfk,stanchionflamethrower,stadiumgoalnetpattern,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,offensivewidth,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
1,26,218,2079200,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,3,0,222665,0,8,-1,70,0,2,0,3,0,9,0,0,60704,0,0,285,50,18,0,1,84,1,83,84,82,2,0,0,83,0,-1,82,0,0,0,222665,66690,2,246669,0,0,14,4,251566,7,1,0,106626,0,2,0,0,222665,1,1,5,0,222665,13,0,3,0,83,68,60,3,0,246669,0,222665,2,7,0,366,0,-1,135298,82
2,0,102,695520,229,184,148,1874,139,124,51,51,2,52,47,2,226,102,190,0,Aston Villa,78,0,-1,2,0,236499,1,6,-1,50,0,2,1,4,0,7,0,0,42657,0,2,54,50,109,0,2,80,1,81,81,82,2,-1,1,79,0,-1,79,0,0,0,236499,132240,2,236499,1,0,7,3,236499,5,2,0,155792,0,2,0,0,210881,1,1,3,0,236499,7,0,3,0,80,68,50,3,0,236499,0,236499,2,5,0,366,0,-1,266384,82
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,1,0,257063,0,7,-1,60,0,2,1,4,0,4,0,0,31154,0,2,55,50,1796,0,2,70,1,69,71,68,2,-2,1,68,0,-1,69,2,0,0,235770,270352,2,238196,0,0,6,2,238196,5,3,0,4231184,0,2,0,0,221281,2,0,2,0,257063,3,0,3,0,69,55,60,3,0,220139,0,257063,2,1,0,316,0,-1,526352,68
4,255,255,6000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,3,0,212366,0,10,-1,70,0,2,0,4,0,4,0,0,28723,0,2,61,50,1917,0,2,65,1,67,67,67,2,-2,0,67,0,-1,65,2,0,0,212366,66688,0,212366,0,0,4,2,231951,7,4,0,66688,0,2,0,0,221705,0,1,4,0,212366,0,0,3,0,66,55,70,2,0,220039,0,212366,2,1,0,316,0,-1,139392,67
5,20,0,2852000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,2,0,247090,1,8,-1,60,0,1,0,3,0,9,0,0,40343,0,2,285,60,1,0,1,78,1,79,79,77,2,0,0,79,1,-1,79,1,0,0,247090,132233,3,247090,2,0,8,2,247090,4,5,2,148617,0,2,0,0,238074,0,0,4,0,202652,6,0,3,0,80,68,70,3,0,247090,0,247090,2,7,0,366,0,-1,270473,78
7,54,0,684480,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,1,0,243282,0,3,-1,40,0,2,2,4,0,7,0,0,39414,0,0,282,50,9,0,2,76,1,77,76,79,2,-2,2,75,0,-1,75,0,0,0,152908,263240,2,243282,0,0,5,1,152908,5,7,0,4218952,0,2,0,0,202695,1,1,3,0,152908,9,0,3,0,77,68,60,8,0,221479,0,152908,2,4,0,366,0,-1,528456,78
8,255,255,423096,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,3,0,251954,0,10,-1,70,0,1,3,5,0,7,0,0,37890,0,2,269,50,1939,0,1,73,1,74,74,73,2,-1,3,73,0,-1,72,2,0,0,251954,66689,2,251954,0,0,1,3,251954,4,8,0,83073,0,2,0,0,239360,0,0,4,0,251954,3,0,3,0,73,55,60,6,0,247249,0,251954,2,2,0,366,0,-1,139393,73
9,27,227,4598000,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,3,0,231281,0,9,-1,70,0,1,0,3,0,9,0,0,53394,0,1,282,60,11,0,1,81,1,84,81,84,2,-2,0,84,0,-1,84,1,0,0,231281,66176,3,231281,6,0,8,3,216267,3,9,3,115840,0,2,0,0,203376,1,1,4,0,231281,19,0,3,0,83,68,70,4,0,209331,0,231281,2,9,0,366,0,-1,139392,85
10,173,108,4593500,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,3,0,237692,0,10,-1,60,0,2,0,4,0,9,1,0,53400,0,1,300,70,11,0,2,86,1,85,86,87,2,-2,0,82,1,-1,83,1,0,0,246191,66176,3,237692,1,0,7,3,246191,3,10,0,99456,0,2,0,0,188377,0,1,5,0,246191,9,0,3,0,85,68,80,1,0,239085,0,237692,2,10,0,366,0,-1,139392,88
11,1,199,4798500,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,2,0,212198,0,9,-1,70,0,2,0,5,0,10,0,0,74310,0,0,300,70,9,0,0,83,1,82,83,80,2,-2,0,79,1,-1,78,0,0,0,212198,132228,0,212198,3,0,12,3,212198,9,11,1,132228,0,2,0,0,212198,1,0,3,0,212198,20,0,3,0,82,68,70,2,0,212198,0,212198,2,8,0,366,0,-1,270468,79
12,25,224,84000,255,53,255,1876,7,235,33,34,1,54,25,1,33,7,255,53,Middlesbrough,34,0,-1,1,0,183422,0,8,-1,50,0,2,0,4,0,5,0,0,33931,0,2,315,60,13,0,2,70,0,71,71,67,2,-1,0,73,0,-1,71,2,0,0,183422,270466,2,183422,0,0,0,2,183422,6,12,0,4231298,0,2,0,0,183422,2,0,4,0,183422,0,0,3,0,71,55,70,7,0,213697,0,183422,2,1,0,316,0,-1,526466,67
