homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
6,5,10,3,13,6,66,0,0,0,0,0,1,1,0,20221,10,3,0,12,269,10,5,10,25,1,2,0,1,0,1,1,0,73
3,9,13,2,10,7,80,0,0,0,0,0,1,1,0,22022,10,5,1,12,270,10,3,3,25,0,1,0,0,0,2,1,0,83
9,3,6,6,8,5,33,0,0,0,0,0,1,1,0,1012,8,2,2,12,271,8,2,8,17,1,2,0,0,0,1,3,2,46
14,8,7,10,10,6,20,0,0,0,0,0,1,1,0,20,5,0,3,12,272,5,3,3,11,2,5,0,2,0,2,0,2,23
7,1,11,1,13,8,53,0,0,0,0,1,1,1,0,12012,0,4,4,12,819,0,4,0,26,1,2,0,0,1,0,2,0,66
9,11,7,11,6,9,33,0,0,0,0,0,1,1,0,1120,4,1,5,12,822,4,1,5,8,2,4,0,2,0,4,1,1,26
8,4,8,9,3,11,26,0,0,0,0,0,1,1,0,10200,5,2,6,12,1443,5,1,3,12,2,1,0,2,0,5,0,3,36
5,7,8,5,9,11,73,0,0,0,0,0,1,1,0,12212,8,3,7,12,1516,8,3,0,21,3,1,0,0,0,2,1,2,50
10,6,7,8,7,13,60,0,0,0,0,0,1,1,0,21211,3,2,8,12,1786,3,1,3,14,1,1,0,1,0,3,2,3,40
5,2,12,4,11,4,40,0,0,0,0,0,1,1,0,11102,10,3,9,12,1788,10,3,10,22,1,1,0,0,0,1,2,2,53
15,12,2,12,3,7,6,0,1,0,0,0,1,1,0,1000,4,0,10,12,2002,4,0,5,3,2,6,0,2,0,3,3,0,6
7,10,8,7,5,12,46,0,0,0,0,0,1,1,0,21200,3,2,11,12,15001,3,2,5,15,0,2,0,2,0,3,1,2,46
4,11,9,2,9,9,53,0,0,0,0,0,4,4,0,11220,10,4,12,11,229,10,2,10,21,1,0,1,2,0,2,2,1,70
1,3,11,6,8,7,40,0,0,0,0,1,4,4,0,11120,10,3,13,11,230,10,1,0,17,2,0,1,2,0,2,3,2,46
6,4,14,7,9,6,20,0,0,0,0,0,4,4,0,11100,8,2,14,11,231,8,2,0,16,3,0,1,2,0,3,1,3,50
6,6,6,8,7,5,86,0,0,0,0,0,4,4,0,21222,8,2,15,11,232,8,2,10,16,2,2,0,0,0,1,2,2,53
6,9,9,9,4,11,60,0,0,0,0,0,4,4,0,2022,3,3,16,11,670,3,0,10,13,3,0,1,0,0,4,1,3,40
8,1,11,5,9,2,46,0,0,0,0,0,4,4,0,11112,10,1,17,11,673,10,3,0,18,2,1,0,0,1,0,2,4,50
7,5,10,3,6,5,40,0,0,0,0,0,4,4,0,21110,10,3,18,11,674,10,2,8,20,0,0,1,2,0,1,3,2,56
7,12,3,10,8,11,33,0,0,0,0,0,4,4,0,21100,3,2,19,11,680,3,1,8,13,2,3,0,2,0,1,4,0,33
10,7,4,16,8,10,40,0,0,0,0,0,4,4,0,1121,4,1,20,11,681,4,0,3,7,3,4,0,1,0,2,4,0,20
6,8,9,4,5,5,40,0,0,0,0,0,4,4,0,22,10,4,21,11,1750,10,2,10,18,1,2,0,0,0,3,0,0,60
14,15,7,14,7,12,0,0,0,0,0,0,4,4,0,0,5,1,22,11,2013,5,2,4,10,1,3,0,2,0,4,0,1,30
7,2,16,1,10,6,100,0,0,0,0,0,4,4,0,22222,0,4,23,11,2014,0,4,10,25,0,1,0,0,0,1,0,1,73
10,16,7,11,5,11,20,0,0,0,0,0,4,4,0,10101,3,2,24,11,8001,3,1,4,13,0,2,0,1,0,2,2,2,43
8,14,7,15,2,14,46,0,0,0,0,0,4,4,0,10202,4,2,25,11,100081,4,0,4,8,2,2,0,0,0,5,0,2,26
6,10,11,12,7,13,46,0,0,0,0,0,4,4,0,12002,3,2,26,11,100087,3,1,3,12,1,2,0,0,0,3,1,2,36
3,13,6,13,5,13,6,0,0,0,0,0,4,4,0,100,5,2,27,11,110724,5,1,4,11,1,2,0,2,0,4,1,1,33
7,3,5,17,6,9,6,0,0,0,0,0,10,10,0,10000,5,1,28,7,245,4,0,0,5,4,2,0,2,0,2,2,0,23
3,1,19,3,13,3,100,0,0,0,1,1,10,10,0,22222,10,4,29,9,246,10,3,0,23,2,0,1,0,1,0,1,1,85
2,2,15,1,15,1,100,0,0,0,1,0,10,10,0,22222,0,5,30,9,247,0,4,0,27,1,0,1,0,1,0,0,0,100
5,13,5,12,3,12,20,0,0,0,0,0,10,10,0,20000,3,2,31,9,634,3,0,3,9,1,1,0,2,0,3,2,1,33
6,14,4,18,4,12,26,0,0,0,0,0,10,10,0,1020,4,1,32,8,645,4,0,5,4,2,2,0,2,0,4,0,1,16
12,7,5,16,3,8,40,0,0,0,0,0,10,10,0,20002,4,1,33,9,1903,5,1,8,6,3,3,0,0,0,4,0,0,22
8,9,4,10,3,7,60,0,0,0,0,0,10,10,0,2202,3,2,34,8,1905,3,1,5,9,0,2,0,0,0,3,0,0,37
2,4,15,2,10,2,86,0,0,0,1,0,10,10,0,21222,10,4,35,9,1906,10,4,10,25,1,0,1,0,1,0,0,1,92
2,5,8,4,11,4,66,0,0,0,0,0,10,10,0,2221,10,4,36,9,1908,10,3,10,22,1,0,1,1,0,1,1,0,81
7,10,1,14,5,8,26,0,0,0,0,0,10,10,0,210,3,0,37,9,1909,3,2,3,7,1,3,0,2,0,3,0,1,25
8,12,11,11,3,8,33,0,0,0,0,0,10,10,0,2011,3,2,38,9,1910,3,0,3,9,1,2,0,1,0,2,2,1,33
8,8,5,15,5,13,6,0,0,0,0,0,10,10,0,10,3,1,39,9,1913,3,1,8,7,2,2,0,2,0,4,0,1,25
8,17,3,9,8,8,26,0,0,0,0,0,10,10,0,10002,3,1,40,9,1914,3,2,5,10,0,3,0,0,0,2,0,1,37
9,15,8,6,8,6,53,0,0,0,0,0,10,10,0,12210,8,1,41,9,1971,8,2,5,13,0,1,0,2,0,1,1,3,48
3,11,14,5,3,12,46,0,0,0,0,0,10,10,0,20021,8,4,42,9,100632,8,0,3,14,0,0,1,1,0,3,1,1,51
8,16,10,8,4,11,40,0,0,0,0,0,10,10,0,11201,8,3,43,9,100634,8,0,5,12,0,1,0,1,0,2,2,1,44
7,6,4,7,6,6,26,0,0,0,0,0,10,10,0,2001,8,1,44,9,100646,8,2,3,12,0,1,0,1,0,2,1,2,44
10,18,3,13,5,9,53,0,0,0,0,0,10,10,0,10221,3,1,45,9,111380,3,1,5,8,0,3,0,1,0,2,2,0,29
6,2,10,3,8,2,73,0,0,0,1,0,13,13,0,21221,1,3,46,9,1,1,3,1,21,1,0,1,1,1,0,1,2,77
3,7,17,5,6,10,86,0,0,0,0,0,13,13,0,22212,2,4,47,9,2,3,2,2,19,2,0,1,0,0,2,1,0,70
5,12,6,10,7,4,53,0,0,0,0,0,13,13,0,10221,3,1,48,9,5,3,2,1,12,3,2,0,1,0,1,1,2,44
5,17,4,16,5,9,40,0,0,0,0,0,13,13,0,2020,5,1,49,9,7,5,1,3,7,2,4,0,2,0,2,1,0,25
2,5,11,4,9,7,66,0,0,0,0,0,13,13,0,22012,1,4,50,9,9,1,2,0,20,2,0,1,0,0,1,2,0,74
2,1,10,2,9,5,60,0,0,0,0,1,13,13,0,22002,1,4,51,9,10,0,3,0,21,1,0,1,0,0,2,0,0,77
7,3,7,8,4,6,60,0,0,0,0,0,13,13,0,2022,3,3,52,9,11,3,2,0,15,4,2,0,0,0,2,0,0,55
3,4,13,6,11,6,86,0,0,0,0,0,13,13,0,22212,3,4,53,9,13,2,1,1,16,2,1,0,0,0,2,1,0,59
5,16,6,15,4,7,26,0,0,0,0,0,13,13,0,10111,5,1,54,9,14,5,1,4,10,1,0,1,1,0,3,1,3,37
2,8,8,1,12,6,86,0,0,0,1,0,13,13,0,21222,0,4,55,9,18,1,3,1,23,1,0,1,0,1,0,2,0,85
6,14,8,9,8,10,26,0,0,0,0,0,13,13,0,210,3,2,56,9,19,3,2,2,14,2,1,0,2,0,2,1,1,51
9,13,5,12,6,6,53,0,0,0,0,0,13,13,0,1212,3,1,57,9,110,3,2,3,11,1,2,0,0,0,2,1,1,40
6,10,4,13,4,9,46,0,0,0,0,0,13,13,0,21020,3,2,58,9,144,3,1,3,11,1,2,0,2,0,2,2,0,40
15,2,4,20,3,9,0,0,1,0,0,0,13,14,0,0,4,0,59,9,1794,4,0,4,1,2,4,0,2,0,4,0,1,3
16,1,4,18,3,7,20,0,0,0,0,1,13,14,0,200,4,0,60,9,1796,4,1,4,4,2,5,0,2,0,2,1,0,14
3,11,3,11,4,8,33,0,0,0,0,0,13,13,0,1210,3,1,61,9,1799,3,2,3,12,1,1,0,2,0,2,1,2,44
8,6,13,7,9,10,46,0,0,0,0,0,13,13,0,22010,3,3,62,9,1808,3,2,2,16,2,1,0,2,0,2,0,1,59
6,3,3,17,5,11,33,0,0,0,0,0,13,14,0,12001,5,0,63,9,1923,5,1,4,5,1,3,0,1,0,3,1,1,18
8,9,9,14,5,4,26,0,0,0,0,0,13,13,0,102,3,1,64,9,1925,3,1,3,10,1,1,0,0,0,2,1,3,37
9,15,2,19,4,11,6,0,1,0,0,0,13,13,0,10000,4,0,65,9,1943,4,0,4,3,2,3,0,2,0,3,1,2,11
11,7,8,10,12,11,60,0,0,0,0,0,14,14,6,222,3,3,66,13,3,3,3,7,19,3,3,0,0,0,3,1,0,50
4,18,9,3,11,9,80,0,0,0,0,0,14,13,6,20222,7,3,67,12,8,7,3,6,22,2,0,1,0,0,2,1,3,70
5,4,6,7,13,13,100,0,0,0,0,0,14,14,6,22222,8,3,68,13,12,3,3,7,20,3,2,0,0,0,3,1,1,63
12,20,3,22,6,12,0,0,0,0,0,0,14,14,6,0,4,0,69,13,15,4,2,3,8,4,4,0,2,0,5,1,1,16
12,20,11,8,8,10,66,0,0,0,0,0,14,13,6,2212,7,2,70,12,17,7,4,6,20,2,2,0,0,0,2,0,2,53
4,17,11,11,4,8,46,0,0,0,0,0,14,14,6,10220,3,4,71,12,88,8,1,3,18,1,0,1,2,0,4,1,2,46
11,2,19,2,6,2,86,0,0,0,0,0,14,60,6,22122,6,5,72,11,94,6,4,3,28,0,1,0,0,1,0,1,0,83
3,19,11,1,16,4,100,0,0,0,0,0,14,13,6,22222,6,6,73,13,95,6,6,6,36,1,1,0,0,1,0,0,0,90
11,8,7,16,6,5,33,0,0,0,0,0,14,14,6,2110,5,2,74,13,97,3,2,8,16,1,4,0,2,0,1,3,1,43
8,6,10,9,11,7,40,0,0,0,0,0,14,14,6,22000,3,3,75,13,106,7,3,8,19,0,3,0,2,0,3,1,0,53
6,9,11,5,9,8,66,0,0,0,0,0,14,14,6,22012,7,4,76,13,109,3,1,8,20,1,1,0,0,0,2,3,2,53
9,13,11,14,13,15,26,0,0,0,0,0,14,14,6,20100,3,4,77,13,1792,3,1,7,17,3,3,0,2,0,3,2,0,33
6,11,11,15,5,10,46,0,0,0,0,0,14,14,6,122,3,3,78,13,1795,5,1,8,16,2,2,0,0,0,3,2,2,40
8,19,7,23,3,14,13,0,0,0,0,0,14,14,6,1001,4,1,79,11,1797,4,0,4,6,2,2,0,1,0,5,1,2,20
5,5,9,17,8,9,53,0,0,0,0,0,14,14,6,12210,3,2,80,12,1800,3,1,3,15,2,0,1,2,0,3,2,4,40
9,12,9,4,7,9,13,0,0,0,0,0,14,14,6,10001,7,4,81,12,1801,7,2,3,21,0,1,0,1,0,2,2,1,56
8,16,8,20,5,10,40,0,0,0,0,0,14,14,6,2002,5,3,82,12,1806,5,1,3,13,3,3,0,0,0,4,1,0,33
8,3,2,24,3,11,6,0,1,0,0,0,14,60,6,10,4,0,83,12,1807,4,0,4,3,2,4,0,2,0,5,1,2,10
7,14,8,12,7,6,40,0,0,0,0,0,14,14,6,202,3,2,84,12,1919,8,3,7,18,2,2,0,0,0,2,1,2,46
10,1,14,21,4,9,33,0,0,0,0,1,14,60,6,21001,5,3,85,12,1929,5,0,4,12,1,3,0,1,0,3,3,0,26
13,18,7,19,6,10,33,0,0,0,0,0,14,14,6,10120,5,2,86,13,1939,5,1,4,14,1,3,0,2,0,2,3,2,43
7,15,8,13,9,9,33,0,0,0,0,0,14,14,6,21010,3,1,87,12,1952,3,3,8,17,1,1,0,2,0,2,1,4,46
9,10,9,18,10,9,60,0,0,0,0,0,14,14,6,22200,5,2,88,13,1960,5,2,8,15,2,3,0,2,0,3,1,2,43
6,21,11,6,10,10,46,0,0,0,0,0,14,14,6,20102,8,4,89,13,1961,3,2,3,20,2,1,0,0,0,4,1,1,63
4,2,4,15,4,9,53,0,0,0,0,0,16,16,0,2211,5,1,90,9,64,5,1,2,9,3,1,0,1,0,3,1,2,33
2,5,5,4,7,8,53,0,0,0,0,0,16,16,0,10212,2,3,91,9,65,2,1,2,15,1,1,0,0,0,1,3,0,55
13,7,6,18,1,5,13,0,1,0,0,0,16,16,0,10010,4,0,92,9,66,4,0,1,3,4,3,0,2,0,3,1,2,11
6,2,4,16,4,10,20,0,0,0,0,0,16,17,0,20000,5,0,93,9,68,5,2,4,8,1,2,0,2,0,3,0,2,29
4,6,11,1,12,8,66,0,0,0,0,0,16,16,0,10222,0,4,94,9,69,0,2,1,20,0,1,0,0,1,0,2,0,74
5,12,3,14,9,6,33,0,0,0,0,0,16,16,0,1120,3,0,95,8,70,5,2,3,9,2,1,0,2,0,2,1,2,37
9,16,12,7,4,6,80,0,0,0,0,0,16,16,0,22022,3,2,96,9,71,3,2,3,14,1,1,0,0,0,2,0,2,51
1,9,4,2,6,3,86,0,0,1,1,0,16,16,0,22122,1,2,97,9,72,1,3,2,19,0,0,1,0,1,0,1,3,70
4,1,12,3,8,3,66,0,0,0,0,1,16,16,0,2122,1,3,98,9,73,1,2,0,18,2,1,0,0,1,0,2,1,66
9,4,13,9,2,3,33,0,0,0,0,0,16,16,0,11200,3,2,99,9,74,3,0,1,11,3,1,0,2,0,1,3,2,40
6,15,7,13,1,8,26,0,0,0,0,0,16,16,0,12000,5,2,100,9,76,3,1,3,10,1,2,0,2,0,3,0,1,37
8,10,9,12,6,11,33,0,0,0,0,0,16,16,0,10012,3,2,101,9,217,3,0,3,10,1,1,0,0,0,2,2,2,37
1,3,7,8,5,11,26,0,0,0,0,0,16,16,0,10020,3,3,102,9,219,3,0,1,12,3,0,1,2,0,3,2,1,44
3,14,5,5,4,5,53,0,0,0,0,0,16,16,0,22110,2,2,103,9,378,2,2,4,15,0,0,1,2,0,2,1,2,55
5,11,6,6,9,7,46,0,0,0,0,0,16,16,0,2201,3,2,104,9,379,3,2,3,14,1,2,0,1,0,1,2,0,51
5,1,6,11,4,7,33,0,0,0,0,1,16,17,0,12001,3,2,105,9,1738,3,0,4,10,0,2,0,1,0,1,3,1,37
4,13,7,10,4,6,40,0,0,0,0,0,16,16,0,10211,3,1,106,9,1809,3,1,3,11,1,0,1,1,0,2,2,3,40
6,8,2,17,5,7,33,0,0,0,0,0,16,16,0,10012,4,0,107,8,1815,4,1,4,5,2,3,0,0,0,2,1,1,20
4,17,9,3,15,7,86,0,0,0,0,0,17,16,6,22221,7,2,108,11,57,7,4,6,22,2,1,0,1,1,0,2,2,63
10,4,9,13,2,7,26,0,0,0,0,0,17,17,6,21,3,3,109,11,58,3,0,3,12,1,2,0,1,0,3,3,0,36
6,3,6,15,2,8,13,0,0,0,0,0,17,17,6,10100,5,2,110,11,59,5,1,6,11,4,2,0,2,0,3,2,1,40
5,6,11,8,7,7,40,0,0,0,0,0,17,17,6,1211,3,2,111,11,62,3,2,8,16,2,1,0,1,0,2,1,3,43
6,5,8,11,9,8,13,0,0,0,0,0,17,17,6,101,3,2,112,11,210,3,2,8,14,2,3,0,1,0,2,1,1,36
6,19,6,17,6,8,13,0,0,0,0,0,17,16,6,11,4,1,113,11,294,4,0,6,9,4,2,0,1,0,2,4,2,26
4,18,9,7,1,6,73,0,0,0,0,0,17,16,6,21212,3,3,114,11,614,3,1,7,17,3,0,1,0,0,2,2,3,53
2,20,10,2,7,6,100,0,0,0,0,0,17,16,6,22222,6,4,115,11,1530,6,3,6,23,1,0,1,0,0,2,0,2,76
4,10,9,4,5,3,73,0,0,1,1,0,17,17,6,22211,7,3,116,11,1805,7,2,3,21,0,0,1,1,1,0,3,3,60
3,15,7,1,6,3,80,0,0,0,0,0,17,17,6,22220,6,5,117,11,1814,6,3,5,25,0,1,0,2,0,1,1,0,73
6,12,8,10,2,7,20,0,0,0,0,0,17,17,6,11001,3,3,118,11,1816,3,1,3,15,1,1,0,1,0,3,1,2,40
2,8,4,5,7,4,86,0,0,0,0,0,17,17,6,22212,7,2,119,11,1819,8,4,7,21,2,1,0,0,0,1,1,2,70
5,13,8,9,8,13,46,0,0,0,0,0,17,17,6,2210,3,3,120,11,110321,3,1,5,15,0,1,0,2,0,3,2,1,40
8,16,3,18,4,7,20,0,0,0,0,0,17,17,6,10011,4,0,121,11,110456,4,1,3,8,3,3,0,1,0,2,3,2,26
9,20,4,20,6,11,0,0,0,0,0,0,17,17,6,0,4,0,122,11,111276,4,1,5,6,2,4,0,2,0,3,1,2,16
