overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
1,90,89,9,203376
2,91,89,9,212831
-2,86,88,10,210257
1,89,88,21,212622
-2,83,85,21,213345
-2,82,84,21,237086
-1,82,83,22,178603
2,89,87,22,235073
3,87,84,32,210035
-1,84,85,32,256630
-1,84,85,44,208128
2,89,87,44,231478
2,88,86,45,186153
-2,82,84,45,210008
-2,84,86,73,231443
-2,89,91,73,231747
-2,82,84,73,235212
-2,82,84,73,237679
3,87,84,175,192984
1,90,89,241,192448
2,88,86,241,210514
3,89,86,243,182521
3,89,86,243,252371
-1,84,85,481,224334
2,91,89,605,190871
-1,82,83,112893,189511
1,89,88,115998,226302
-2,83,85,115998,226375
2,89,87,115998,241846
-1,84,85,115998,247789
3,90,87,115998,248717
-1,85,86,116009,245872
-2,82,84,116009,258980
-2,83,85,116009,265239
-1,84,85,116009,265242
-2,82,84,116011,265252
3,89,86,116017,240714
2,88,86,116017,257008
2,90,88,116033,227316
-1,88,89,116033,227361
3,91,88,116033,245956
-1,84,85,116302,226177
-2,82,84,116302,226336
-2,82,84,116302,267215
2,90,88,116309,226893
-1,84,85,116311,227318
2,91,89,116312,226301
4,89,85,116312,237673
1,89,88,116365,232293
