overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,81,83,82,82,84,82,1,82,85
1,79,81,80,82,79,80,2,84,80
1,84,84,83,84,81,84,9,84,80
1,78,79,78,78,79,79,19,79,80
1,75,77,76,74,76,76,23,76,78
1,77,77,76,76,76,79,25,76,77
-1,73,73,74,73,74,73,31,71,73
1,79,81,80,81,81,80,32,81,82
-1,76,75,76,77,74,75,66,76,73
1,76,77,76,75,77,77,110,75,78
-1,76,76,77,76,77,74,144,76,77
1,75,78,77,76,78,77,175,76,78
-1,78,77,78,77,78,77,219,76,77
1,79,80,79,79,81,80,234,79,82
-1,77,77,78,78,78,76,236,78,78
1,78,78,77,78,77,78,237,79,76
-1,74,74,75,75,75,72,245,74,74
1,78,79,78,80,79,79,325,80,80
2,75,79,77,78,77,76,326,79,79
-1,77,78,79,77,79,76,448,77,79
-1,75,75,76,79,76,73,450,78,76
1,79,80,79,79,81,79,457,80,82
-1,77,78,79,79,80,77,483,77,79
1,74,78,77,79,79,75,605,80,80
-1,78,76,77,77,77,77,1808,76,77
-1,76,75,76,76,74,76,1824,75,73
-1,74,74,75,75,75,71,1943,73,74
-1,73,74,75,74,75,73,1968,75,74
-1,74,73,74,72,74,73,100409,72,74
-1,72,74,75,77,74,72,111974,76,74
-1,80,79,80,81,79,79,115841,81,79
1,80,83,82,86,83,81,115995,86,84
-1,78,78,79,79,81,77,115997,78,82
-1,76,76,77,77,80,75,116002,77,80
-1,81,82,83,84,82,80,116009,83,80
-1,78,76,77,78,75,77,116011,79,74
1,77,81,80,81,81,77,116012,82,81
-1,75,74,75,75,74,74,116014,74,74
1,79,81,80,83,81,80,116017,83,82
1,84,85,84,87,83,85,116033,87,83
1,75,78,77,77,80,75,116035,78,81
-1,74,75,76,77,78,73,116036,76,78
-1,77,79,80,83,80,76,116302,82,79
1,76,79,78,83,78,76,116304,85,80
1,77,78,77,74,76,78,116305,74,77
1,78,79,78,77,75,79,116306,78,75
-1,75,77,78,82,77,74,116311,82,76
1,79,81,80,84,79,81,116312,85,80
1,78,80,79,81,78,79,116327,81,79
-1,74,73,74,74,74,73,116332,73,72
