overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,79,81,80,82,80,79,2,82,81
1,84,84,83,84,81,84,9,85,81
1,78,79,78,78,79,77,19,78,80
1,83,85,84,90,85,83,21,91,85
-1,81,80,81,81,81,80,22,81,79
1,76,77,76,75,76,77,23,77,78
-1,73,72,73,73,74,71,31,73,73
1,79,81,80,82,81,81,32,82,82
2,73,76,74,77,73,75,36,79,76
1,82,83,82,81,82,82,44,82,84
1,75,76,75,76,74,75,54,77,74
-1,73,72,73,74,73,72,71,72,71
1,84,84,83,84,79,84,73,85,79
-1,74,75,76,78,77,74,74,76,76
2,73,76,74,74,75,75,78,75,76
-1,76,76,77,75,77,75,144,77,76
-2,75,75,77,76,78,73,175,75,76
-1,78,77,78,78,77,79,219,77,77
1,78,77,76,76,75,79,246,76,76
2,75,78,76,79,76,76,247,80,78
1,78,80,79,80,81,79,457,80,82
-1,76,74,75,75,74,74,461,75,73
-1,73,72,73,73,73,72,463,73,73
1,73,78,77,79,78,74,605,81,79
1,71,77,76,83,77,71,607,84,78
-2,77,75,77,75,75,76,1831,73,73
1,76,77,76,79,77,75,1860,80,77
-1,74,74,75,75,75,72,1861,75,74
1,72,77,76,77,77,74,1896,77,77
-1,72,72,73,71,75,71,1906,71,74
1,77,78,77,76,77,77,110062,77,78
1,74,77,76,86,77,75,112139,87,78
1,82,83,82,82,83,84,115995,82,83
1,78,80,79,80,81,79,115997,81,82
-1,76,76,77,76,77,75,115999,75,76
1,81,84,83,84,82,82,116009,85,82
-1,78,76,77,77,74,77,116011,77,74
-1,77,79,80,81,81,75,116012,80,80
-1,74,74,75,75,75,73,116013,75,75
-1,75,74,75,75,74,73,116014,75,74
1,79,81,80,83,81,79,116017,85,82
1,84,85,84,86,83,85,116033,86,83
-1,73,72,73,75,72,71,116042,75,72
-1,78,78,79,78,80,77,116326,77,79
-1,74,73,74,74,74,73,116332,72,73
-2,75,74,76,78,76,74,116334,77,74
-1,75,75,76,77,76,73,116336,77,74
-1,72,72,73,75,74,71,116339,75,73
-1,74,73,74,72,74,73,116343,72,74
-1,79,80,81,82,82,79,116365,82,80
