overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,82,84,2,241852
-2,81,83,5,202652
2,93,91,10,192985
2,91,89,10,231866
-1,86,87,11,212198
-2,81,83,11,226753
-2,80,82,13,233731
3,90,87,21,167495
1,91,90,21,202126
2,88,86,21,256790
3,90,87,22,235073
3,88,85,44,208128
2,89,87,44,231478
-1,82,83,45,208574
2,89,87,47,215698
3,90,87,73,230621
1,92,91,73,231747
2,88,86,241,186942
-2,84,86,241,210514
3,90,87,241,228702
-2,81,83,326,180930
-1,81,82,326,199434
-3,81,84,448,230869
-1,81,82,457,233486
-1,81,82,461,211688
2,87,85,483,189513
3,87,84,1824,188943
-2,80,82,1896,213516
-2,80,82,1968,219522
-1,83,84,114912,192505
-2,81,83,114912,229582
-1,84,85,115841,192387
-2,80,82,115841,220502
1,90,89,116033,227310
-2,82,84,116033,227327
2,88,86,116033,231432
2,88,86,116033,265674
3,89,86,116034,233662
3,87,84,116034,233748
3,89,86,116034,237197
1,89,88,116034,246272
-2,81,83,116035,227326
2,92,90,116325,227102
2,90,88,116325,237289
1,91,90,116325,241667
-2,81,83,116334,272076
-1,81,82,116336,272208
-2,82,84,116365,216435
-1,84,85,116365,217870
-2,84,86,116365,247635
