overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,82,83,1,205498
-1,84,85,2,202811
-2,87,89,9,209331
-2,86,88,10,210257
2,90,88,10,218667
2,91,89,10,231866
1,89,88,11,212198
-2,85,87,18,200104
-1,84,85,18,220697
1,91,90,21,202126
-2,81,83,22,178603
-1,83,84,22,212190
-1,83,84,22,212194
2,89,87,22,235073
-1,82,83,32,210324
2,88,86,45,186153
-2,82,84,45,235805
-2,82,84,73,237679
1,89,88,240,194765
-1,87,88,240,200389
-1,89,90,241,188545
2,91,89,241,192448
2,88,86,241,253163
3,90,87,243,177003
2,88,86,243,182521
1,90,89,243,238794
1,89,88,243,239053
2,89,87,243,252371
-1,82,83,326,180930
2,88,86,112139,20801
-2,84,86,112139,208722
2,88,86,114912,211110
-1,84,85,115841,192387
-2,82,84,115841,198706
-2,86,88,115998,226302
-2,83,85,115998,226375
-1,84,85,115998,227337
-2,85,87,115998,241846
2,89,87,115998,248717
3,88,85,116010,238257
-2,82,84,116011,265252
-1,85,86,116012,247504
2,91,89,116033,227310
2,90,88,116033,227316
3,88,85,116033,227331
2,91,89,116033,227361
-3,81,84,116035,246641
1,91,90,116325,227102
2,89,87,116325,227776
1,90,89,116325,236479
