overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
3,89,86,1,234378
3,89,86,1,246669
-2,84,86,5,232411
3,91,88,10,210257
3,92,89,10,231866
3,89,86,10,237692
2,93,91,10,239085
2,91,89,10,239818
3,90,87,11,212198
-1,83,84,18,240091
-2,88,90,21,202126
-3,82,85,21,209658
-3,83,86,21,222492
-3,83,86,21,256790
3,90,87,22,235073
3,89,86,44,224232
3,88,85,44,237383
2,89,87,47,215698
3,88,85,47,232656
-1,83,84,240,193747
-3,86,89,241,192448
-3,83,86,241,210514
-2,85,87,241,228702
-3,82,85,241,241486
3,89,86,243,182521
2,91,89,243,238794
2,90,88,243,239053
2,90,88,243,252371
-1,83,84,114912,192505
-1,84,85,115841,192387
-2,85,87,115998,241846
2,89,87,115998,248717
-1,83,84,116009,226979
-1,84,85,116009,233746
-1,86,87,116009,245802
-2,83,85,116009,246426
-1,84,85,116009,265242
2,90,88,116010,227323
3,89,86,116017,257008
-1,88,89,116033,227310
-1,88,89,116033,227361
-1,87,88,116033,245956
3,89,86,116033,265674
-2,84,86,116034,233662
-1,83,84,116035,246641
2,92,90,116325,227102
2,90,88,116325,227190
3,93,90,116325,241667
-1,84,85,116365,217870
