overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,82,82,83,82,84,81,1,82,84
-1,75,76,77,79,77,74,7,79,77
1,84,84,83,84,81,85,9,85,81
1,82,82,81,80,81,83,13,80,82
1,83,85,84,90,85,83,21,91,85
1,81,82,81,81,81,82,22,81,81
-2,76,74,76,75,75,74,23,74,74
1,79,81,80,81,81,79,32,81,82
1,82,83,82,82,82,83,44,83,83
-1,76,75,76,77,73,76,66,76,71
-1,73,72,73,68,75,71,70,66,73
1,84,84,83,84,79,84,73,84,80
-1,74,73,74,72,74,73,206,72,74
-1,78,77,78,76,78,78,219,75,78
-1,71,73,74,73,74,68,229,73,72
-1,73,72,73,75,72,70,230,74,72
-1,72,73,74,72,75,71,231,71,73
-1,83,84,85,85,85,82,243,85,85
-1,74,74,75,75,74,72,245,74,74
1,77,77,76,76,75,79,246,76,76
1,75,77,76,78,75,76,247,79,76
-1,77,78,79,83,79,76,449,83,79
-2,73,73,75,76,75,72,452,75,73
1,79,80,79,79,81,80,457,79,82
1,77,78,77,77,77,77,479,80,77
1,81,81,80,80,80,81,481,81,81
1,74,78,77,79,79,76,605,80,79
-1,71,75,76,83,77,70,607,81,76
1,76,77,76,76,74,76,1824,77,75
-2,77,75,77,74,75,75,1831,74,75
1,76,77,76,75,76,77,1925,77,76
-1,75,75,76,76,77,74,10029,76,77
-1,72,74,75,77,74,71,111974,77,74
-1,72,73,74,78,72,71,112893,78,70
1,80,81,80,81,79,81,115841,81,80
1,80,83,82,86,83,82,115995,86,83
1,78,78,77,78,77,78,115999,78,78
-1,76,76,77,77,80,75,116002,77,78
1,77,81,80,81,81,78,116012,81,81
-1,74,74,75,75,75,72,116013,75,76
-1,76,76,77,80,78,75,116015,79,77
1,84,85,84,85,83,85,116033,87,84
1,80,82,81,83,79,80,116034,84,79
2,75,79,77,77,80,75,116035,79,81
1,80,79,78,75,79,81,116300,75,79
-1,79,79,80,83,80,77,116302,83,80
-1,78,77,78,77,75,76,116306,76,75
1,77,79,78,79,77,77,116310,80,77
-1,78,78,79,78,80,78,116326,78,79
1,79,80,79,81,78,80,116327,81,78
