overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,75,77,76,78,76,76,7,78,76
1,71,74,73,74,73,72,8,76,74
1,73,74,73,71,71,74,17,73,72
1,83,85,84,90,84,83,21,91,85
-1,74,74,75,78,74,73,36,78,73
1,83,83,82,81,82,84,44,82,83
1,75,76,75,78,75,76,54,77,74
-1,78,76,77,77,76,77,64,76,75
-1,74,74,75,75,76,73,66,74,74
-1,71,70,71,72,69,71,68,71,67
-2,72,72,74,74,75,70,70,73,74
-1,77,75,76,77,76,75,72,76,75
1,84,84,83,84,79,84,73,85,80
-1,76,74,75,75,76,74,95,74,76
-1,76,76,77,75,77,76,144,73,76
-1,72,72,73,72,74,72,217,71,73
1,77,78,77,78,77,78,236,79,77
2,74,75,73,73,73,76,378,74,74
1,73,75,74,75,75,73,379,76,76
1,72,71,70,70,70,72,459,69,71
1,73,74,73,73,74,74,463,74,74
1,71,72,71,70,72,72,467,69,73
1,74,75,74,75,74,74,472,77,75
1,71,72,71,71,71,73,1738,71,71
1,70,71,70,69,70,70,1795,69,71
1,70,71,70,69,71,70,1800,69,72
1,69,71,70,70,70,71,1801,69,70
1,71,72,71,71,72,71,1815,72,72
1,70,71,70,71,69,70,1887,72,71
-1,73,72,73,71,75,72,1906,72,73
1,74,73,72,71,72,74,1908,72,73
-1,74,74,75,74,76,72,1968,74,76
-1,75,75,76,77,76,74,10029,76,75
-1,69,71,72,73,71,68,101016,73,70
-1,75,77,78,78,77,74,110374,76,76
-1,72,71,72,72,72,71,111235,71,72
-1,75,74,75,75,75,74,111811,74,74
1,69,71,70,71,69,71,112809,71,71
-1,79,79,80,83,78,78,114912,83,77
2,79,83,81,83,80,80,116034,85,82
-1,76,77,78,78,80,76,116035,76,79
1,75,77,76,77,77,76,116036,79,79
-1,73,71,72,72,72,72,116039,71,71
-1,73,72,73,75,72,72,116042,75,72
-1,74,73,74,74,72,72,116332,74,70
1,78,80,79,82,79,78,116333,83,80
-1,75,75,76,76,77,74,116334,75,76
-1,75,75,76,77,76,74,116336,77,75
-1,72,72,73,75,75,70,116339,74,73
-1,72,71,72,70,74,70,131219,70,72
