competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
350,9,12,112408,350,0,24,24,149,161240,152437,79200,112390,0,350
350,16,2,112139,350,0,24,24,179,161240,152438,79200,112572,0,350
350,18,5,112393,350,0,24,24,149,161239,152439,79200,113222,0,350
350,8,4,607,350,0,24,24,345,161239,152440,79200,113057,0,350
350,13,14,113060,350,0,24,24,149,161239,152441,79200,112392,0,350
350,1,10,111674,350,0,24,24,149,161240,152442,79200,605,0,350
350,17,15,113037,350,0,24,24,149,161240,152443,79200,113058,0,350
350,3,6,112096,350,0,24,24,149,161239,152444,79200,112387,0,350
350,11,7,113217,350,0,24,24,149,161239,152445,79200,112883,0,350
68,14,8,741,68,0,30,30,195,161243,153007,73800,101007,0,68
68,4,6,101014,68,0,30,30,178,161245,153008,73800,327,0,68
68,9,2,326,68,0,30,30,176,161244,153009,73800,101016,0,68
68,15,1,325,68,0,30,30,261,161243,153010,73800,101028,0,68
68,10,17,110776,68,0,30,30,179,161243,153011,73800,113142,0,68
68,7,20,746,68,0,30,30,468,161243,153012,61200,101037,0,68
68,5,13,101020,68,0,30,30,261,161244,153013,73800,111339,0,68
68,3,16,101033,68,0,30,30,147,161244,153014,73800,436,0,68
68,19,12,748,68,0,30,30,147,161245,153015,73800,131389,0,68
68,18,11,101041,68,0,30,30,147,161244,153016,61200,111117,0,68
13,9,4,2,13,0,29,28,115,161240,153797,63000,110,0,13
13,16,13,1943,13,0,28,28,348,161240,153798,54000,7,0,13
13,6,15,1925,13,0,29,28,450,161240,153799,72000,11,0,13
13,19,11,5,13,0,27,29,28,161240,153800,54000,1796,0,13
13,8,2,9,13,0,28,28,13,161241,153801,50400,1808,0,13
13,1,3,10,13,0,28,28,246,161241,153802,59400,1,0,13
13,7,10,13,13,0,28,29,100,161240,153803,45000,19,0,13
13,14,18,14,13,0,29,28,449,161240,153804,54000,1799,0,13
13,12,20,1794,13,0,28,29,433,161240,153805,54000,144,0,13
13,17,5,18,13,0,28,29,409,161240,153806,54000,1923,0,13
60,20,5,1932,60,0,38,38,26,161239,154367,54000,1944,0,60
60,9,2,91,60,0,40,39,249,161239,154368,54000,1926,0,60
60,16,15,143,60,0,39,39,34,161239,154369,54000,89,0,60
60,22,23,112260,60,0,39,37,34,161239,154370,54000,1936,0,60
60,10,8,149,60,0,39,39,32,161239,154371,54000,1958,0,60
60,24,4,1938,60,0,38,39,228,161239,154372,54000,1480,0,60
60,14,21,1928,60,0,38,38,228,161239,154373,54000,1962,0,60
60,11,18,1793,60,0,39,40,249,161239,154374,54000,1930,0,60
60,6,17,127,60,0,39,39,228,161239,154375,54000,1951,0,60
60,3,7,361,60,0,39,39,34,161239,154376,54000,4,0,60
60,19,12,1917,60,0,39,39,180,161239,154377,54000,15015,0,60
60,1,13,1933,60,0,38,39,228,161239,154378,54000,1790,0,60
2216,12,3,116009,2216,0,17,17,156,161255,154541,67500,131283,0,2216
2216,9,7,116015,2216,0,17,17,115,161240,154542,45000,116020,0,2216
2216,2,4,116343,2216,0,17,17,13,161240,154543,45000,116017,0,2216
2216,10,5,116012,2216,0,17,17,1,161241,154544,43200,116016,0,2216
2216,8,11,116014,2216,0,17,17,355,161241,154546,54000,116013,0,2216
2216,7,1,116010,2216,0,17,17,28,161262,154550,43200,116015,0,2216
2216,6,5,116012,2216,0,17,17,1,161262,154552,43200,116011,0,2216
2218,6,3,116035,2218,0,17,18,33,161239,154679,75600,116037,0,2218
2218,12,4,116040,2218,0,18,18,468,161240,154680,52200,116038,0,2218
2218,9,1,116033,2218,0,18,18,426,161241,154681,75600,116416,0,2218
2218,8,2,116034,2218,0,18,18,14,161241,154682,52200,116039,0,2218
2218,11,5,116036,2218,0,18,18,469,161240,154683,52200,131219,0,2218
2218,7,10,116042,2218,0,18,17,469,161240,154684,46800,116044,0,2218
19,4,2,21,19,0,26,26,261,161240,154937,66600,22,0,19
19,13,6,1824,19,0,26,26,416,161240,154938,55800,1831,0,19
19,9,12,23,19,0,26,26,343,161240,154939,55800,25,0,19
19,14,10,38,19,0,26,26,413,161240,154940,55800,175,0,19
19,16,5,112172,19,0,26,26,420,161240,154941,55800,169,0,19
19,17,7,100409,19,0,26,26,412,161241,154942,55800,31,0,19
19,8,1,32,19,0,26,26,12,161240,154943,55800,10029,0,19
19,11,3,36,19,0,26,26,418,161241,154944,63000,111235,0,19
19,18,15,160,19,0,26,26,473,161241,154945,70200,110502,0,19
20,5,12,110588,20,0,26,26,178,161241,155243,48600,485,0,20
20,11,17,110500,20,0,26,26,33,161240,155244,46800,580,0,20
20,3,8,165,20,0,26,26,474,161241,155245,48600,28,0,20
20,6,1,110329,20,0,26,26,475,161241,155246,48600,10030,0,20
20,18,13,492,20,0,26,26,178,161241,155247,48600,487,0,20
20,4,15,29,20,0,26,26,147,161240,155248,46800,110636,0,20
20,7,14,34,20,0,26,26,30,161241,155249,48600,1832,0,20
20,16,2,576,20,0,26,26,32,161240,155250,46800,27,0,20
20,10,9,166,20,0,26,26,135,161240,155251,73800,171,0,20
2215,2,8,116002,2215,0,17,17,447,161254,155417,43200,115998,0,2215
2215,10,3,115999,2215,0,17,17,407,161256,155418,70200,116003,0,2215
2215,1,12,131106,2215,0,17,17,176,161255,155419,66600,115995,0,2215
2215,9,7,116004,2215,0,17,17,413,161253,155420,66600,116021,0,2215
2215,4,5,115996,2215,0,17,17,12,161254,155421,50400,115997,0,2215
2215,6,11,131386,2215,0,17,17,422,161255,155422,50400,116001,0,2215
10,9,10,100646,10,0,26,26,178,161240,155681,67500,634,0,10
10,14,3,1908,10,0,26,26,176,161241,155682,52200,100634,0,10
10,18,12,111380,10,0,26,26,228,161241,155683,60300,645,0,10
10,17,4,1906,10,0,26,26,178,161240,155684,75600,1909,0,10
10,15,7,100632,10,0,26,26,249,161240,155686,72000,1971,0,10
10,1,6,1910,10,0,26,26,249,161240,155687,59400,247,0,10
10,5,13,1914,10,0,26,26,249,161241,155688,44100,245,0,10
10,11,16,1905,10,0,26,26,249,161240,155689,72000,1913,0,10
66,11,16,114393,66,0,25,25,178,161242,155978,45000,111088,0,66
66,2,13,111086,66,0,25,25,249,161240,155979,63000,111092,0,66
66,18,1,110745,66,0,25,25,176,161240,155980,54000,111085,0,66
66,5,7,420,66,0,25,25,176,161242,155981,72000,1871,0,66
