overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,66,67,66,64,68,68,298,64,70
-1,65,65,66,64,67,64,299,63,64
-1,64,65,66,68,65,64,300,69,65
-1,63,62,63,64,62,62,306,64,62
1,72,72,71,70,71,73,320,71,73
-1,64,61,62,62,60,60,321,62,60
1,62,63,62,61,62,64,418,63,63
2,66,68,66,65,67,68,433,66,68
1,68,68,67,74,67,68,688,74,68
1,69,70,69,69,71,68,691,69,71
-1,68,69,70,73,71,68,697,74,70
1,67,70,69,69,68,68,698,69,69
-2,66,64,66,67,64,64,700,67,65
1,65,66,65,65,64,66,708,70,67
-2,66,66,68,66,68,65,710,64,67
-2,67,66,68,66,69,66,711,66,68
1,69,71,70,67,73,69,918,67,74
-3,65,62,65,65,65,62,919,63,63
-2,65,62,64,62,64,63,922,61,63
-1,62,62,63,65,63,62,983,66,62
1,63,64,63,63,65,62,1439,63,65
-1,63,63,64,62,65,62,1456,62,63
1,67,71,70,73,69,68,1473,75,70
1,62,66,65,67,66,63,1474,68,67
1,69,70,69,71,68,70,1477,71,69
2,65,68,66,67,66,66,1478,68,66
-1,57,56,57,58,56,55,1572,59,56
-2,64,62,64,64,62,62,1756,63,62
-1,64,64,65,67,64,64,2056,66,63
1,68,70,69,73,68,68,101112,74,70
1,66,68,67,67,70,66,110765,67,71
1,67,69,68,72,68,68,111065,74,68
-1,65,67,68,69,68,63,111139,70,68
1,67,70,69,69,71,69,111140,69,71
-1,62,61,62,62,62,62,112072,61,62
-1,61,62,63,66,63,59,112126,66,63
1,70,71,70,71,69,71,112134,73,69
1,63,65,64,58,65,62,112199,58,67
1,66,70,69,72,71,66,112606,72,73
1,66,70,69,72,70,68,112885,72,70
1,68,71,70,67,74,68,113149,67,75
2,62,64,62,62,63,63,113458,65,63
-1,69,68,69,75,68,68,114162,76,67
1,66,69,68,68,70,67,114640,68,70
-1,74,76,77,75,74,74,116306,74,73
