overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
3,90,87,1,234378
1,90,89,9,209331
-1,87,88,10,210257
3,93,90,10,231866
2,93,91,10,239085
-3,82,85,11,200145
-1,83,84,18,240091
-3,84,87,21,167495
-2,83,85,21,209658
-1,86,87,21,212622
-2,82,84,21,237086
2,89,87,22,235073
-2,86,88,44,231478
2,88,86,45,186153
-1,83,84,45,246430
-2,82,84,47,232756
-2,84,86,47,241721
-1,86,87,73,207865
-2,89,91,73,231747
2,90,88,240,200389
-2,82,84,240,226161
-2,87,89,241,192448
-2,83,85,241,241486
-2,84,86,241,253163
2,88,86,243,177003
-1,89,90,243,192119
1,89,88,243,252371
3,88,85,448,230869
-1,84,85,605,209981
2,88,86,112139,20801
-2,82,84,112172,243580
3,93,90,112893,158023
2,88,86,114912,211110
-1,83,84,115995,264886
2,90,88,115998,226302
2,89,87,115998,241846
-1,84,85,115998,247789
3,89,86,115998,248717
3,90,87,116009,245802
2,88,86,116009,245872
3,91,88,116010,227323
-1,85,86,116012,247504
4,88,84,116306,238212
-1,86,87,116310,232075
-3,82,85,116312,237673
3,89,86,116325,227013
3,93,90,116325,227102
3,88,85,116325,227246
1,91,90,116325,241667
2,89,87,116365,232293
