homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
10,5,23,2,21,10,0,0,0,0,0,0,1,1,0,0,0,7,0,22,269,0,7,10,47,0,2,0,0,0,1,3,2,0
12,9,15,6,13,20,0,0,0,0,0,0,1,1,0,0,0,5,1,22,270,8,3,3,27,0,4,0,2,0,7,1,2,0
14,3,14,5,12,7,0,0,0,0,0,0,1,1,0,0,0,5,2,22,271,8,4,8,36,0,3,0,0,0,1,6,3,0
22,8,8,7,17,10,0,0,0,0,0,0,1,1,0,0,0,0,3,22,272,3,6,3,24,0,8,0,2,0,2,3,3,0
9,1,22,3,23,14,0,0,0,0,0,1,1,1,0,0,0,7,4,22,819,10,7,0,45,0,3,0,0,0,2,2,1,0
11,11,11,11,8,15,0,0,0,0,0,0,1,1,0,0,0,3,5,22,822,4,1,5,19,0,5,0,2,0,6,4,3,0
14,4,17,9,7,23,0,0,0,0,0,0,1,1,0,0,0,5,6,22,1443,3,1,3,23,0,3,0,2,0,8,2,3,0
7,7,22,1,21,16,0,0,0,0,0,0,1,1,0,0,0,8,7,22,1516,10,7,0,48,0,1,0,0,0,3,1,2,0
16,6,10,10,13,21,0,0,0,0,0,0,1,1,0,0,0,3,8,22,1786,5,2,3,23,0,4,0,1,0,5,4,4,0
9,2,20,4,15,12,0,0,0,0,0,0,1,1,0,0,0,6,9,22,1788,10,4,10,37,0,1,0,1,0,4,3,4,0
27,12,8,12,9,18,0,0,0,0,0,0,1,1,0,0,0,0,10,22,2002,4,2,5,11,0,9,0,2,0,6,3,2,0
16,10,19,8,8,23,0,0,0,0,0,0,1,1,0,0,0,4,11,22,15001,5,2,5,23,0,3,0,0,0,8,1,4,0
13,11,30,2,28,17,0,0,0,0,0,0,4,4,0,0,0,11,12,30,229,10,7,10,63,0,1,0,2,0,2,6,3,0
10,3,34,3,21,17,0,0,0,0,0,1,4,4,0,0,0,9,13,30,230,10,5,0,52,0,1,0,1,0,5,5,5,0
14,4,35,4,27,15,0,0,0,0,0,0,4,4,0,0,0,8,14,30,231,10,6,0,51,0,1,0,2,0,6,3,6,0
12,6,18,10,15,29,0,0,0,0,0,0,4,4,0,0,0,6,15,30,232,3,2,10,34,0,4,0,0,0,8,5,5,0
23,9,20,13,6,25,0,0,0,0,0,0,4,4,0,0,0,6,16,30,670,5,1,10,29,0,5,0,2,0,10,4,4,0
17,1,28,6,23,14,0,0,0,0,0,0,4,4,0,0,0,6,17,30,673,10,6,0,47,0,3,0,1,0,4,5,6,0
18,5,34,7,19,20,0,0,0,0,0,0,4,4,0,0,0,7,18,30,674,8,5,8,47,0,2,0,0,0,5,5,6,0
14,12,18,9,17,32,0,0,0,0,0,0,4,4,0,0,0,8,19,30,680,3,2,8,40,0,3,0,0,0,7,6,4,0
27,7,21,11,21,27,0,0,0,0,0,0,4,4,0,0,0,5,20,30,681,3,2,3,30,0,8,0,1,0,6,7,2,0
18,8,27,5,17,16,0,0,0,0,0,0,4,4,0,0,0,8,21,30,1750,10,6,10,47,0,5,0,0,0,6,3,2,0
28,15,15,14,9,30,0,0,0,0,0,0,4,4,0,0,0,4,22,30,2013,5,3,4,24,0,9,0,2,0,11,1,2,0
16,2,34,1,29,15,0,0,0,0,0,0,4,4,0,0,0,11,23,30,2014,0,10,10,70,0,1,0,1,0,1,4,3,0
