overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,82,82,83,82,84,82,1,81,84
1,80,81,80,82,80,81,2,81,81
1,75,77,76,79,76,77,7,79,76
-1,80,81,82,79,82,80,11,78,80
-1,81,79,80,80,80,79,13,79,80
-1,75,76,77,75,77,75,14,74,77
1,79,82,81,81,81,80,18,83,81
-1,78,77,78,78,79,76,19,78,78
-2,83,82,84,90,84,81,21,88,83
1,82,83,82,81,82,83,44,82,84
1,77,81,80,81,80,78,45,81,81
-1,81,80,81,82,78,80,47,81,78
-1,78,76,77,77,75,77,64,76,75
-1,76,76,77,77,77,75,110,78,77
2,75,79,77,75,77,78,144,78,79
-1,75,76,77,76,78,75,175,76,76
-1,79,78,79,79,80,79,234,78,78
-1,78,77,78,78,78,77,237,77,79
-1,83,83,84,85,84,82,241,82,83
1,78,77,76,75,76,78,246,76,76
1,78,79,78,81,78,79,325,82,78
1,78,80,79,77,79,78,448,80,80
1,75,77,76,79,76,76,450,82,77
1,75,77,76,75,77,76,453,76,79
1,78,80,79,80,81,80,457,80,83
-1,76,76,77,77,77,74,479,75,77
-1,77,77,78,78,80,75,483,77,79
1,74,78,77,79,78,73,605,81,78
2,76,78,76,75,76,77,1824,78,78
1,77,77,76,74,75,77,1831,75,75
1,76,77,76,79,76,75,1860,80,76
1,72,77,76,77,77,72,1896,78,77
1,75,77,76,77,76,75,10029,78,77
-1,77,76,77,76,78,76,110062,75,77
-1,77,77,78,78,77,77,110374,77,77
1,74,77,76,86,77,74,112139,86,78
-1,80,79,80,83,78,79,114912,82,77
-1,79,79,80,81,80,79,115841,80,79
-1,76,76,77,76,77,74,115999,76,76
1,77,78,77,76,75,78,116002,76,76
-1,83,82,83,87,82,82,116010,86,81
-2,78,75,77,77,74,76,116011,74,73
1,77,81,80,81,81,79,116012,81,81
-1,76,76,77,80,78,74,116015,79,78
1,84,86,85,86,83,85,116033,87,85
1,79,82,81,83,80,80,116034,83,82
-2,77,75,77,65,78,75,116037,65,76
1,86,87,86,84,87,86,116325,85,88
-2,78,77,79,78,80,77,116326,77,78
1,78,80,79,81,80,79,116327,81,82
