overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
-2,84,86,2,202811
1,90,89,9,209331
2,93,91,10,192985
2,89,87,11,212198
2,89,87,18,200104
-2,88,90,21,202126
-3,84,87,21,212622
-2,84,86,21,256790
-1,83,84,22,212194
3,90,87,32,256630
-1,85,86,44,177683
3,89,86,44,208128
-1,82,83,44,226851
-2,86,88,44,231478
-2,82,84,45,235805
3,90,87,47,215698
3,88,85,47,232656
2,88,86,47,241721
-2,86,88,240,194765
-1,87,88,240,200389
-1,82,83,240,216460
-2,87,89,241,192448
-2,84,86,241,210514
3,88,85,243,243812
1,89,88,243,252371
-2,82,84,450,192629
-2,82,84,457,227127
-1,82,83,457,230142
-1,82,83,483,208093
1,89,88,607,165153
-1,82,83,110062,228813
3,89,86,112387,204485
-1,83,84,114912,192505
2,88,86,114912,211110
-2,83,85,115841,192387
-1,82,83,115841,210413
-1,85,86,116012,247504
-2,82,84,116017,227254
2,88,86,116017,257008
2,88,86,116034,237197
2,90,88,116034,246272
2,88,86,116305,232073
-1,83,84,116311,227318
2,89,87,116312,226301
1,89,88,116325,227190
2,93,91,116325,227203
1,89,88,116325,237289
3,88,85,116325,253436
3,90,87,116365,232293
